"claim","expected","observed","pass","status"
"N participants","47","47",TRUE,"PASS"
"Rows equal 47 participants × 2 conditions","94","94",TRUE,"PASS"
"Nutrition Condition × Property F","22.02","22.0232",TRUE,"PASS"
"Nutrition interaction numerator df","2","2",TRUE,"PASS"
"Nutrition interaction denominator df","230","230",TRUE,"PASS"
"Nutrition interaction p < .001","TRUE","TRUE",TRUE,"PASS"
"All three nutritional contrasts pHolm < .001","TRUE","TRUE",TRUE,"PASS"
"Minimum nutritional-index Pearson r",".481","0.480741",TRUE,"PASS"
"Maximum nutritional-index Pearson r",".739","0.739431",TRUE,"PASS"
"Standardized alpha",".816","0.816389",TRUE,"PASS"
"Taste Condition × Taste F","82.25","82.2545",TRUE,"PASS"
"Taste interaction numerator df","3","3",TRUE,"PASS"
"Taste interaction p < .001","TRUE","TRUE",TRUE,"PASS"
"Sweetness, sourness and bitterness pFDR <= .011","TRUE","TRUE",TRUE,"PASS"
"Saltiness pFDR approximately .900",".900","0.900476",TRUE,"PASS"
"Composite taste-to-nutrition R-squared",".381","0.380804",TRUE,"PASS"
"Sweetness predicts composite nutritional attribution","TRUE","TRUE",TRUE,"PASS"
"Bitterness predicts composite nutritional attribution","TRUE","TRUE",TRUE,"PASS"
"Sweetness predicts fat, calories and sugar","TRUE","TRUE",TRUE,"PASS"
"Bitterness selectively predicts fat","TRUE","TRUE",TRUE,"PASS"
"Fat-model bootstrap intervals exclude zero","TRUE","TRUE",TRUE,"PASS"
"Mean estimated-consumption difference P minus A","-31.05 ml","-31.051064",TRUE,"PASS"
"Estimated-consumption paired t","-2.27","-2.267030",TRUE,"PASS"
"Estimated-consumption p",".028","0.028134",TRUE,"PASS"
"Intensity Wilcoxon V","166","166.000000",TRUE,"PASS"
"Intensity p < .001","TRUE","TRUE",TRUE,"PASS"
"Pleasantness Wilcoxon V","585","585.000000",TRUE,"PASS"
"Pleasantness p approximately .631",".631","0.630715",TRUE,"PASS"
"No global individual-difference association survives FDR","TRUE","TRUE",TRUE,"PASS"
"Water Control plain-water identifications","31/47","31/47",TRUE,"PASS"
"Olfactory Pod plain-water identifications","2/47","2/47",TRUE,"PASS"
"Olfactory Pod attributed beverage identities","45/47","45/47",TRUE,"PASS"
"Expected qualitative shifts","30/47","30/47",TRUE,"PASS"
"Reverse qualitative shifts","1/47","1/47",TRUE,"PASS"
"Exact McNemar p < .001","TRUE","TRUE",TRUE,"PASS"
